name;description;image
ZUMBA;Zumba to program treningowy, który łączy elementy fitnessu (trening siłowy, trening cardio) i tańca latynoamerykańskiego (m.in. salsa, cumbia, soca, flamenco, tango). Zawiera również elementy tańca brzucha. Początki zumby sięgają lat 90., a za jej twórcę uznaje się tancerza kolumbijskiego Alberto „Beto” Pereza. Wraz z biegiem czasu zumba dotarła do wielu zakątków świata i stała się bardzo popularną i chętnie wybieraną formą aktywności fizycznej.;zumba.png
BASUM;Są to zajęcia łączące w sobie taniec i fitness. Dzięki energetyzującej, porywającej do zabawy muzyce i niezwykłej mocy fitnessu zajęcia te pozwolą nie tylko spalić dużo kalorii, ale równie poprawić sprawność ruchową, wydolność organizmu i pozytywnie wpływają na układ nerwowy. Zajęcia te są dla każdego które lubią ćwiczyć w rytmie dobrej muzyki.;basum.png
UPPER BODY;Efektywny trening modelująco – wzmacniający górne partie ciała takie jak ramiona, plecy, klatkę piersiową oraz angażujący do pracy mięśnie brzucha. Zajęcia te są dla osób, które chcą wzmocnić kręgosłup, uzyskać efekt zgrabnej i smukłej sylwetki bez nadmiernie rozbudowanych mięśni oraz mieć ładnie zarysowane ramiona i plecy.;upperBody.png
BODY BOXING;Intensywny trening aerobowy inspirowany sztukami walki, przez co stosując serię kopnięć i ciosów w kontrolowany sposób spala się zbędne kalorię, poprawia wytrzymałość i wyzwala z ciała negatywną energię. Wprowadzone elementy wzmacniające pozwalają wymodelować sylwetkę oraz wzmocnić mięśnie różnych partii ciała. Trening polecany w szczególności dla osób, które posiadają niespożyte pokłady energii, a nie wiedzą do końca jak ją odpowiednio spożytkować.;bodyBoxing.png
POWER BAR;To połączenie treningu funkcjonalnego opartego na kombinacji ćwiczeń głownie z użyciem sztangi. Zajęcia te prowadzone są do dynamicznej muzyki, która nadaje rytm wykonywanym ćwiczeniom oraz ułatwia pracę. Systematyczny trening poprawia wytrzymałości, wzmacnia cały aparat ruchy i rzeźbi mięśnie. Zajęcia te przeznaczone są zarówno dla osób, które dopiero zaczynających ćwiczyć jak i dla osób zaawansowanych.;powerBar.png
POWER CIRCLE;to zajęcia full body dla osób lubiących intensywne i dynamiczne ćwiczenia. Trening składa się z kilku ćwiczeń, które się zapętlają. Instruktor dokłada jedno ćwiczenie tak, aby zaangażować kolejną partię. Zajęcia mają charakter ciągły przez co wzmacniają mięśnie, spalają nadmiar tkanki tłuszczowej i budują piękne, wysportowane ciało. Podejmij wyzwanie i wspólnie spalmy ogromną dawkę kalorii.;powerCircle.png
BODY MOVEMENT;Innowacyjne zajęcia oparte na ruchu własnego ciała z elementami stretchingu i relaksacji wywodzące się ze sposobu poruszania zwierząt oraz zawodników w sztukach walki . Ćwiczenia charakteryzujące się pracą nad równowagą, mobilnością ,elastycznością, balansem w doskonaleniu techniki ruchowej w płynnych przejściach, dzięki którym Twoje ciało będzie silne a ruch bardziej świadomy.;bodyMovement.png
AFCROSS;Intensywny trening oparty na koncepcji CrossFit rozwijający wszystkie aspekty szeroko pojętej sprawności fizycznej. W crossfit ćwiczy się jednocześnie podnoszenie ciężarów, sprawność gimnastyczną, gibkość i wytrzymałość. Kształtowanie charakteru oraz ciała przy pomocy ćwiczeń angażujących każdą partię mięśniową.;afcross.png
TABATA;Intensywny trening interwałowy na zasadzie protokołu 4-minutowej Tabaty (powtarzanej ok 3/4 razy) Ekspresowa dawka aktywności dająca widoczne efekty w dość krótkim czasie. Rozpędzi Twój metabolizm i sprawi, że będziesz spalać kalorie jeszcze długo po zakończonym treningu.;tabata.png
